number,state,value,params
91,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3059371569826755, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
92,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32604790445703663, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 15, ""units_0"": 512}"
93,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3832471690386879, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
94,PRUNED,0.9555555555555556,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2907542224260679, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 14, ""units_0"": 10}"
95,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2140328562431933, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
96,PRUNED,0.8416666666666667,"{""activation_0"": ""relu"", ""batch_size"": 512, ""lr"": 0.048043185286251316, ""max_epochs"": 1350, ""n_layers"": 1, ""patience"": 15, ""units_0"": 1024}"
97,PRUNED,0.95,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.2686983568320916, ""max_epochs"": 3050, ""n_layers"": 1, ""patience"": 16, ""units_0"": 64}"
98,PRUNED,0.9583333333333334,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.023416177810790917, ""max_epochs"": 2750, ""n_layers"": 1, ""patience"": 21, ""units_0"": 2048}"
99,PRUNED,0.9638888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3425740369718762, ""max_epochs"": 2250, ""n_layers"": 1, ""patience"": 39, ""units_0"": 4096}"
100,PRUNED,0.9444444444444444,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.2351321641412219, ""max_epochs"": 2950, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
